code_esp,nom_latin,type,cat_group_size,groupe,Famille,List_sp,liste_especes_potentielles,potential_sp,group_pelgas,nom_commun,nom_anglais,nom_espagnol,phylum_public,classe_public,ordre_public,famille_public,taxon_fr,family_eng,group_eng,id_public,LB_NOM_taxref,NOM_VERN_taxref,NOM_VERN_ENG_taxref,CD_NOM_taxref,APHIA_ID_taxref,REGNE_taxref,PHYLUM_taxref,CLASSE_taxref,ORDRE_taxref,FAMILLE_taxref,R_Caraibes,R_Ocean_Indien,R_Polynesie,R_Sud_Pacifique,R_France_metropole,ASI,CODE_SCANS3,CODE_Bat,CODE_Samm,CODE_OI,CODE_PF,Group_old,kind_ident,nb_bases_remmoa,ex_code_et_corrections
"DELSPP","Delphinidae sp.","Marine mammal",,"Delphinide ind.","Delphinidae","Delphinide ind.",,,,"Delphinide ind.","Delphinid sp.","Delfinido spp","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Mammifere marin","Delphinidae","Delphinid",2.1200000000000000e+02,,,,,,,,,,,"Guy, Ant","R, epa","R","R, fut","Samm, bat, fremm, sercel, romer, atlancet","x","DESP",,,"DELSPP",,"Delphinide","Delphinide",2.0000000000000000e+01,
"DELURB","Delichon urbica","Land Bird",,"Hirondelle","Autre oiseau","Hirondelle de fenetre",,,,"Hirondelle de fenetre","House martin","Avion comun","Chordata","Aves","Passeriformes","Hirundinidae","Oiseau terrestre","Other bird","Swallow",2.0800000000000000e+02,"Delichon urbica"," Hirondelle de fenetre",,3.7030000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae",,,,,"bat",,,,,"0",,"Hirondelle","Hirondelle",,
"DERCOR","Dermochelys coriacea","Other Marine Wildlife",,"Dermochelyide","Tortue","Tortue luth",,,,"Tortue luth","Leatherback turtle","Tortuga Laud","Chordata","Reptilia","Testudines","Dermochelyidae","Autre faune marine","Turtle","Dermochelyidae",2.2200000000000000e+02,"Dermochelys coriacea","Tortue luth","Leathery Turtle",7.7367000000000000e+04,"137209","Animalia","Chordata","Reptilia","Testudines","Dermochelyidae","Guy, Ant","R","R","R","Samm, bat, belgica, romer","x","TURTL",,,"DERCOR",,"Turtle","Turtle",2.0000000000000000e+01,
"DIOSPP","Diomedeidae sp.","Seabird",,"Albatros","Diomedeidae","Albatros sp.",,,"surface","Albatros ind.","Albatross sp.",,"Chordata","Aves","Ciconiiformes","Diomedeidae","Oiseau marin","Diomedeidae","Albatros",2.2300000000000000e+02,,,,,,,,,,,,"R","R","R",,"x",,,,"DIOSPP",,"Albatros","Albatros",1.9000000000000000e+01,
"DUGDUG","Dugong dugon","Marine mammal",,"Dugongidae","Sirenien","Dugong",,,,"Dugong","Dugong",,"Chordata","Mammalia","Sirenia","Dugongidae","Mammifere marin","Sirenian","Dugongidae",2.3500000000000000e+02,"Dugong dugon","Dugong, Vache marine","Dugong mudip",5.3234500000000000e+05,,"Animalia","Chordata","Mammalia","Sirenia","Dugongidae",,"R",,"R",,,,,,"DUGDUG",,"Sirenien","Sirenien",2.0000000000000000e+00,
"EGRGAR","Egretta garzetta","Land Bird",,"Echassier","Ardeidae","Aigrette garzette",,,,"Aigrette garzette","Little egret","Garceta comun","Chordata","Aves","Ciconiiformes","Ardeidae","Oiseau terrestre","Ardeidae","Echassier",2.3800000000000000e+02,"Egretta garzetta"," Aigrette garzette","Little Egret",2.4970000000000000e+03,,"Animalia","Chordata","Aves","Ciconiiformes","Ardeidae",,,,,"bat","x",,,,"0",,"Echassier","Echassier",,
"EGRSPP","Egretta spp","Land Bird",,"Echassier","Ardeidae","Aigrette ind.",,,,"Aigrette ind.","Egret sp","Garceta spp","Chordata","Aves","Ciconiiformes","Ardeidae","Oiseau terrestre","Ardeidae","Echassier",2.3700000000000000e+02,,,,,,,,,,,,,,"R","bat","x",,,,"0",,"Echassier","Echassier",,
"EMBSCH","Emberiza schoenicus","Land Bird",,"Passereau","Autre oiseau","Bruant des roseaux",,,,"Bruant des roseaux","Reed Bunting","Escribano Palustre","Chordata","Aves","Passeriformes","Emberizidae","Oiseau terrestre","Other bird","Passerine",,"Emberiza schoeniclus","Bruant des roseaux","Reed Bunting",4.6690000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Emberizidae",,,,,"bat",,,,,,,,,,
"EMBSPP","Emberiza spp","Land Bird",,"Passereau","Autre oiseau","Bruant ind.",,,,"Bruant ind.","Hammer sp","Escribano spp","Chordata","Aves","Passeriformes","Emberizidae","Oiseau terrestre","Other bird","Passerine",2.4000000000000000e+02,,,,,,,,,,,,,,,"bat",,,,,"0",,"passereau","passereau",,
"ERIRUB","Erithacus rubecula","Land Bird",,"Passereau","Autre oiseau","Rouge gorge",,,,"Rouge gorge","European robin","Petirrojo spp","Chordata","Aves","Passeriformes","Saxicolidae","Oiseau terrestre","Other bird","Passerine",2.4600000000000000e+02,"Erithacus rubecula"," Rouge-gorge ",,,,,,,,,,,,,"bat",,,,,"0",,"passereau","passereau",,
"EUBAUS","Eubalaena australis","Marine mammal","Large cetacean","Balaenidae","Balaenidae","Baleine franche australe",,,,"Baleine franche australe","Southern right whale",,"Chordata","Mammalia","Cetartiodactyla","Balaenidae","Mammifere marin","Balaenidae ","Balaenidae ",2.5200000000000000e+02,"Eubalaena australis","Baleine franche australe","Southern right whale",5.2870400000000000e+05,,"Animalia","Chordata","Mammalia","Cetacea","Balaenidae",,"M",,,,,,,,"0",,,,2.0000000000000000e+00,
"EXOCET","Exocetus spp","Other Marine Wildlife",,"Petit poisson","Poisson","Exocet ind.",,,,"Exocet ind.","Flying fish sp","Exoceti spp","Chordata","Actinopterygii","Beloniformes","Exocoetidae","Autre faune marine","Fish","Small fish",2.6600000000000000e+02,,,,,,,,,,,,"epa",,"R, fut","bat","x",,"EXOSPP",,"0",,"Fish","Fish",,"EXOSPP / bat"
"FAD","Fishing Aggregating Device","Human activity",,"Peche","Buoy","Dispositif de Concentration de Poisson (DCP)",,,,"Dispositif de Concentration de Poisson (DCP)","Fishing Aggregating Device",,"X",,,,"Activite humaine","Buoy","Fishing activity",,,,,,,,,,,,,"R",,"R",,"x",,,,"DCP",,"Buoy","Buoy",,"BUOY / avec DCP ou FAD en commentaire / remmoa ou DCP / avec DCP ou FAD en commentaire / remmoa"
"FALCOL","Falco columbarius","Land Bird",,"Rapace","Autre oiseau","Faucon emerillon",,,,"Faucon emerillon","Merlin","Esmerejon","Chordata","Aves","Falconiformes","Falconidae","Oiseau terrestre","Other bird","Bird of prey",2.6900000000000000e+02,"Falco columbarius"," Faucon emerillon","Merlin",2.6760000000000000e+03,,"Animalia","Chordata","Aves","Falconiformes","Falconidae",,,,,"bat","x",,,,"0",,"rapace","rapace",,
"FALELE","Falco eleonorae","Land Bird",,"Rapace","Falconidae","Faucon d'Eleonore",,,,"Faucon d'Eleonore","Eleonora's falcon","Halcon de Eleonora",,,,,"Oiseau terrestre","Falconidae","Bird of prey",,,,,,,,,,,,,,,,,"x",,,,,,,"rapace",,
"FALPER","Falco peregrinus","Land Bird",,"Rapace","Autre oiseau","Faucon pelerin",,,,"Faucon pelerin","Peregrine falcon","Halcon peregrino","Chordata","Aves","Falconiformes","Falconidae","Oiseau terrestre","Other bird","Bird of prey",2.7000000000000000e+02,"Falco peregrinus"," Faucon pelerin","Peregrine Falcon",2.9380000000000000e+03,,"Animalia","Chordata","Aves","Falconiformes","Falconidae",,,,,"bat","x",,,,"0",,"rapace","rapace",,
"FALSPP","Falco spp","Land Bird",,"Rapace","Autre oiseau","Faucon ind.",,,,"Faucon ind.","Falcon sp","Halcon spp","Chordata","Aves","Falconiformes","Falconidae","Oiseau terrestre","Other bird","Bird of prey",2.6800000000000000e+02,,,,,,,,,,,,,,,"bat","x",,,,"0",,"rapace","rapace",,
"FALSUB","Falco subbuteo","Land Bird",,"Rapace","Autre oiseau","Faucon hobereau",,,,"Faucon hobereau","Eurasian hobby","Alcotan europeo","Chordata","Aves","Falconiformes","Falconidae","Oiseau terrestre","Other bird","Bird of prey",2.7100000000000000e+02,"Falco subbuteo"," Faucon hobereau","Eurasian Hobby",2.6790000000000000e+03,,"Animalia","Chordata","Aves","Falconiformes","Falconidae",,,,,"bat","x",,,,"0",,"rapace","rapace",,
"FALTIN","Falco tinnunculus","Land Bird",,"Rapace","Autre oiseau","Faucon crecerelle",,,,"Faucon crecerelle","Common kestrel","Cernicalo comun","Chordata","Aves","Falconiformes","Falconidae","Oiseau terrestre","Other bird","Bird of prey",2.7200000000000000e+02,"Falco tinnunculus"," Faucon crecerelle","Common Kestrel",2.6690000000000000e+03,,"Animalia","Chordata","Aves","Falconiformes","Falconidae",,,,,"bat","x",,,,"0",,"rapace","rapace",,
"FERATT","Feresa attenuata","Marine mammal","Small cetacean","Petit globicephaline","Globicephalinae","Orque nain",,,,"Orque pygmee","Pygmy killer whale",,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Mammifere marin","Globicephalinae","Small globicephaline",2.7600000000000000e+02,"Feresa attenuata","Orque naine","Pygmy killer whale",6.0883000000000000e+04,"137095","Animalia","Chordata","Mammalia","Cetacea","Delphinidae",,"R",,,,"x",,,,"FERATT",,"Petit globicephaline","Petit globicephaline",2.0000000000000000e+01,
"FERRYB","Ferry","Human activity",,"Commerce","Ship","Ferry",,,,"Ferry","Ferry","Ferry","X",,,,"Activite humaine","Ship","Transport",,,,,,,,,,,,"Ant","R","R","R","Samm, bat, belgica","x",,,"BATFER","FERRYB",,"Ship","Ship",,"BATFER / Samm"
"FICHYP","ficedula hypoleuca","Land Bird",,"Passereau","Autre oiseau","Gobemouche noir",,,,"Gobemouche noir","Pied Flycatcher","Papamoscas cerrojillo","Chordata","Aves","Passeriformes","Muscicapidae","Oiseau terrestre","Other bird","Passerine",2.7800000000000000e+02,"Ficedula hypoleuca"," Gobemouche noir","Pied Flycatcher",4.3300000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Muscicapidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"FICPAR","Ficedula parva","Land Bird",,"Passereau","Autre oiseau","Gobemouche nain",,,,"Gobemouche nain","Red-breasted Flycatcher","Papamoscas papirrojo","Chordata","Aves","Passeriformes","Muscicapidae","Oiseau terrestre","Other bird","Passerine",2.7900000000000000e+02,"Ficedula parva"," Gobemouche nain ",,,,,,,,,,,,,"bat",,,,,"0",,"passereau","passereau",,
"FISH","Osteichiens","Other Marine Wildlife",,"Grand poisson","Poisson","Poisson ind.",,,,"Poisson ind.","Fish sp",,"Chordata","Actinopterygii",,,"Autre faune marine","Fish","Large fish",9.5500000000000000e+02,,,,,,,,,,,"Guy","R, epa",,"R","Samm, belgica","x","FISH",,,"FISH",,"Fish","Fish",2.0000000000000000e+01,"POISPP / eparses, bat"
"FISHBO","Fishing boat (professional)","Human activity",,"Peche","Ship","Bateau de peche pro",,,,"Bateau de peche pro","Fishing boat (professional)","Barco pesca","X",,,,"Activite humaine","Ship","Fishing activity",,,,,,,,,,,,"Guy, Ant","R","R","R","Samm, bat, belgica, atlancet","x","FIBO",,,"FISHBO",,"Ship","Ship",,"BATPEC / Samm"
"FISHFA","Fishing farm","Human activity",,"Service","Other Activity","Ferme aquacole",,,,"Ferme aquacole","Fishing farm",,"X",,,,"Activite humaine","Other Activity","Service",,,,,,,,,,,,,,,,,"x",,,,,,"Other","Other activity",,
"FISHTR","Fishing trash (net part, buoy)","Human activity",,"Dechet","Trash","Dechet de peche",,,,"Dechet de peche","Fishing trash (net part, buoyâ€¦)","Basura pesca","X",,,,"Activite humaine","Trash","Fish trash",,,,,,,,,,,,"Guy","R, epa","R","R, fut","Samm, bat, belgica","x","DEBNET",,,"FISHTR",,"Trash","Trash",,"DECPEC / Samm, bat"
"FRAARC","Fratercula arctica","Seabird","Small Alcidae","Autre Alcide","Alcidae","Macareux moine",,,"plongeur","Macareux moine","Atlantic puffin","Frailecillo spp","Chordata","Aves","Charadriiformes","Alcidae","Oiseau marin","Alcidae","Other auk",2.8200000000000000e+02,"Fratercula arctica","Macareux moine","Atlantic Puffin",3.4020000000000000e+03,"137131","Animalia","Chordata","Aves","Charadriiformes","Alcidae",,,,,"Samm, bat","x",,,,"0",,,,,
"FREARI","Fregata ariel","Seabird",,"Fregate","Fregatidae","Fregate ariel",,,"surface","Fregate ariel","Lesser frigatebird",,"Chordata","Aves","Ciconiiformes","Fregatidae","Oiseau marin","Fregatidae","Frigatebird",2.8400000000000000e+02,"Fregata ariel"," Fregate ariel",,4.1870400000000000e+05,,"Animalia","Chordata","Aves","Ciconiiformes","Fregatidae",,"epa","R","R, fut",,,,,,"FREARI",,"Fregate","Fregate",1.9000000000000000e+01,
"FREGRA","Fregetta grallaria","Seabird","Storm-petrel","Oceanite","Hydrobatidae","Oceanite a ventre blanc",,,"surface","Oceanite a ventre blanc","white-bellied Storm Petrel",,"Chordata","Aves","Ciconiiformes","Hydrobatidae","Oiseau marin","Hydrobatidae","Storm-petrel",,"Fregetta grallaria","Oceanite a ventre blanc",,4.1882300000000000e+05,,"Animalia","Chordata","Aves","Ciconiiformes","Procellariidae",,,,"Fut",,,,,,"0",,"Oceanite","Oceanite",,
"FREMAG","Fregata magnificens","Seabird",,"Fregate","Fregatidae","Fregate superbe",,,"surface","Fregate superbe","Magnificent Frigatebird",,"Chordata","Aves","Ciconiiformes","Fregatidae","Oiseau marin","Fregatidae","Frigatebird",3.0600000000000000e+02,"Fregata magnificens","Fregate superbe","Magnificent Frigatebird",2.4680000000000000e+03,,"Animalia","Chordata","Aves","Ciconiiformes","Fregatidae","Guy, Ant",,,,,,,,,"0",,"Fregate","Fregate",1.0000000000000000e+00,"FREGAT / antilles"
"FREMIN","Fregata minor","Seabird",,"Fregate","Fregatidae","Fregate du Pacifique",,,"surface","Grande fregate","Great frigatebird",,"Chordata","Aves","Ciconiiformes","Fregatidae","Oiseau marin","Fregatidae","Frigatebird",2.8600000000000000e+02,"Fregata minor"," Fregate du Pacifique",,4.1870300000000000e+05,,"Animalia","Chordata","Aves","Ciconiiformes","Fregatidae",,"epa","R","R, fut",,,,,,"0",,"Fregate","Fregate",1.9000000000000000e+01,
"FRESPP","Fregata spp","Seabird",,"Fregate","Fregatidae","Fregate ind.",,,"surface","Fregate ind.","Frigatebird spp",,"Chordata","Aves","Ciconiiformes","Fregatidae","Oiseau marin","Fregatidae","Frigatebird",2.8300000000000000e+02,,,,,,,,,,,,"R, epa","R","R, fut",,,,,,"FRESPP",,"Fregate","Fregate",1.9000000000000000e+01,
"FRETRO","Fregetta tropica","Seabird","Storm-petrel","Oceanite","Hydrobatidae","Oceanite a ventre noir",,,"surface","Oceanite a ventre noir","Black-bellied Storm Petrel",,"Chordata","Aves","Ciconiiformes","Hydrobatidae","Oiseau marin","Hydrobatidae","Storm-petrel",,"Fregetta tropica","Oceanite a ventre noir",,4.4193200000000000e+05,,"Animalia","Chordata","Aves","Ciconiiformes","Procellariidae",,"epa",,,,,,,,"0",,"Oceanite","Oceanite",,
"FRICOE","Fringilla coelebs","Land Bird",,"Passereau","Autre oiseau","Pinson des arbres",,,,"Pinson des arbres","Chaffinch","Pinzon","Chordata","Aves","Passeriformes","Fringillidae","Oiseau terrestre","Other bird","Passerine",2.9600000000000000e+02,"Fringilla coelebs"," Pinson des arbres","Chaffinch",4.5640000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Fringillidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"FRIMON","Fringilla montifringilla","Land Bird",,"Passereau","Autre oiseau","Pinson du Nord",,,,"Pinson du Nord","Brambling","Pinsono glacio","Chordata","Aves","Passeriformes","Fringillidae","Oiseau terrestre","Other bird","Passerine",2.9700000000000000e+02,"Fringilla montifringilla"," Pinson du nord","Brambling",4.5680000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Fringillidae",,,,,"bat",,,,,"0",,"passereau","passereau",,
"FRONT","Tidal front","Other",,"Hydrologic parameters","Other","Front de maree",,,,"Front de maree","Tidal front","Frente marea","X",,,,"Autre","Other","Hydrologic parameters",,,,,,,,,,,,,,,,"Bat","x",,,,"0",,"Other","Other",,"FRENTE / bat"
"FULATR","Fulica atra","Land Bird",,"Petit canard","Anatidae","Foulque macroule",,,,"Foulque macroule","coot sp",,"Chordata","Aves","Gruiformes","Rallidae","Oiseau terrestre","Anatidae","Petit canard",,"Fulica atra"," Foulque macroule","Common Coot",3.0700000000000000e+03,,"Animalia","Chordata","Aves","Gruiformes","Rallidae",,,,,"Samm, belgica","x",,,,"0",,"Petit canard","Petit canard",,
"FULGLA","Fulmarus glacialis","Seabird",,"Fulmar","Procellariidae","Fulmar boreal",,,"surface","Fulmar boreal","Northern fulmar","Fulmar boreal","Chordata","Aves","Ciconiiformes","Procellariidae","Oiseau marin","Procellariidae","Fulmar",3.0200000000000000e+02,"Fulmarus glacialis","Petrel fulmar, Fulmar boreal",,9.9800000000000000e+02,"137195","Animalia","Chordata","Aves","Ciconiiformes","Procellariidae",,,,,"Samm, bat, belgica, atlancet",,,,,"0",,"Fulmar","Fulmar",,
"GALCHL","Gallinula chloropus","Land Bird",,"Poule","Rallidae","Poule d'eau",,,,"Poule d'eau","Common moorhen","Polla de agua","Chordata","Aves","Gruiformes","Rallidae","Oiseau terrestre","Other bird","Rallidae",3.0700000000000000e+02,"Gallinula chloropus"," Gallinule poule-d'eau","Common Moorhen",3.0590000000000000e+03,,"Animalia","Chordata","Aves","Gruiformes","Rallidae",,,,,"bat",,,,,"0",,,,,
"GALCUV","Galeocerdo cuvier","Other Marine Wildlife",,"Requin","Elasmobranche","Requin tigre",,,,"Requin tigre","Tiger shark",,"Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Autre faune marine","Elasmobranch","Shark",,"Galeocerdo cuvier","Requin tigre","Tiger shark",3.6161700000000000e+05,,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Carcharhinidae",,,"R","R",,"x",,,,"0",,"Fish","Fish",,
"GALGAL","Gallinago gallinago","Land Bird",,"Limicole","Scolopacidae","Becassine des marais",,,,"Becassine des marais","Common snipe",,"Chordata","Aves","Charadriiformes","Scolopacidae","Oiseau terrestre","Shorebird","Scolopacidae",,"Gallinago gallinago","Becassine des marais",,2.4030000000000000e+03,,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae",,,,,"bat",,,,,"0",,"Limicole","Limicole",,
"GAVADA","Gavia adamsii","Coastal Bird",,"Plongeon","Gaviidae","Plongeon a bec blanc",,,"plongeur","Plongeon a bec blanc","Yellow-billed Diver","Carricero poliglota","Chordata","Aves","Ciconiiformes","Gaviidae","Oiseau cotier","Gaviidae","Diver",3.1300000000000000e+02,"Gavia adamsii","Plongeon a bec blanc","Yellow-billed Diver",9.5300000000000000e+02,"137185","Animalia","Chordata","Aves","Ciconiiformes","Gaviidae",,,,,"bat",,,,,"0",,"Plongeon","Plongeon",,
"GAVARC","Gavia arctica","Coastal Bird",,"Plongeon","Gaviidae","Plongeon arctique",,,"plongeur","Plongeon arctique","Black-throated Diver","Colimbo artico","Chordata","Aves","Ciconiiformes","Gaviidae","Oiseau cotier","Gaviidae","Diver",3.1400000000000000e+02,"Gavia arctica","Plongeon arctique","Black-throated Diver",9.5600000000000000e+02,"137186","Animalia","Chordata","Aves","Ciconiiformes","Gaviidae",,,,,"bat",,,,,"0",,"Plongeon","Plongeon",,
"GAVIMM","Gavia immer","Coastal Bird",,"Plongeon","Gaviidae","Plongeon imbrin",,,"plongeur","Plongeon imbrin","Great Northern Diver","Colimbo grande","Chordata","Aves","Ciconiiformes","Gaviidae","Oiseau cotier","Gaviidae","Diver",3.1500000000000000e+02,"Gavia immer","Plongeon imbrin","Great Northern Diver",9.5900000000000000e+02,"137187","Animalia","Chordata","Aves","Ciconiiformes","Gaviidae",,,,,"bat",,,,,"0",,"Plongeon","Plongeon",,
"GAVSPP","Gavia sp","Coastal Bird",,"Plongeon","Gaviidae","Plongeon","Plongeon arctique/ a  bec blanc / imbrin / catmarin","Gavia arctica / G. adamsii / G. immer / G. stellata","plongeur","Plongeon ind.","Diver sp","Colimbo spp","Chordata","Aves","Ciconiiformes","Gaviidae","Oiseau cotier","Gaviidae","Diver",3.1200000000000000e+02,,,,,,,,,,,,,,,"Samm, bat","x",,,,"0",,"Plongeon","Plongeon",,
"GAVSTE","Gavia stellata","Coastal Bird",,"Plongeon","Gaviidae","Plongeon catmarin",,,"plongeur","Plongeon catmarin","Red-throated Diver","Colimbo chico","Chordata","Aves","Ciconiiformes","Gaviidae","Oiseau cotier","Gaviidae","Diver",3.1600000000000000e+02,"Gavia stellata","Plongeon catmarin","Red-throated Diver",2.4110000000000000e+03,"137188","Animalia","Chordata","Aves","Ciconiiformes","Gaviidae",,,,,"bat",,,,,"0",,"Plongeon","Plongeon",,
"GLOMAC","Globicephala macrorhynchus","Marine mammal","Medium cetacean","Grand globicephaline","Globicephalinae","Globicephale tropical",,,,"Globicephale tropical","Short-finned pilot whale",,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Mammifere marin","Globicephalinae","Large globicephaline",3.2100000000000000e+02,"Globicephala macrorhynchus","Globicephale tropical","Short-finned pilot whale",6.0887000000000000e+04,"137096","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Guy, Ant","R","R","R",,"x",,,,"GLOMAC",,"Grand globicephaline","Grand globicephaline",2.0000000000000000e+01,
"GLOMEL","Globicephala melas","Marine mammal","Medium cetacean","Grand globicephaline","Globicephalinae","Globicephale noir",,,,"Globicephale noir","Long-finned pilot whale","Calderon comun","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Mammifere marin","Globicephalinae","Large globicephaline",3.2500000000000000e+02,"Globicephala melas","Globicephale noir","Long-finned Pilot Whale",6.0889000000000000e+04,"137097","Animalia","Chordata","Mammalia","Cetacea","Delphinidae",,"S",,,"Samm, bat, fremm, sercel, belgica, romer, atlancet","x","GMEL",,,"0",,"Grand globicephaline","Grand globicephaline",,
"GLOPSE","Globicephala / Pseudorca","Marine mammal","Medium cetacean","Grand globicephaline","Globicephalinae","Globicephale / Pseudorque","Globicephale noir / tropical / Pseudorque","Globicephala melas / G. macrorhynchus / Pseudorca crassidens",,"Grand globicephaline ind.","pilot whale / False killer whale",,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Mammifere marin","Globicephalinae","Large globicephaline",3.2700000000000000e+02,,,,,,,,,,,"Guy","R","R","R","Samm","x","GLSP",,,"GLOPSE",,"Grand globicephaline","Grand globicephaline",2.0000000000000000e+01,
"GLOSPP","Globicephala melas / macrorhynchus","Marine mammal","Medium cetacean","Grand globicephaline","Globicephalinae","Globicephale","Globicephale noir / tropical","Globicephala melas / G. macrorhynchus",,"Globicephale noir / tropical","Short / Long finned pilot whale",,"Chordata","Mammalia","Cetartiodactyla","Delphinidae","Mammifere marin","Globicephalinae","Large globicephaline",,,,,,,,,,,,,"S",,,,"x",,,,"0",,"Grand globicephaline","Grand globicephaline",,
"GRAGRI","Grampus griseus","Marine mammal","Small cetacean","Petit globicephaline","Globicephalinae","Dauphin de Risso",,,,"Dauphin de Risso","Risso's dolphin","Delfin risso","Chordata","Mammalia","Cetartiodactyla","Delphinidae","Mammifere marin","Globicephalinae","Small globicephaline",3.2900000000000000e+02,"Grampus griseus","Grampus, Dauphin de Risso","Risso's Dolphin, Grey Dolphin, tuyiin",6.0894000000000000e+04,"137098","Animalia","Chordata","Mammalia","Cetacea","Delphinidae","Guy","R","R","R","Samm, bat, sercel, belgica","x","GGRI",,,"GRAGRI",,"Petit globicephaline","Petit globicephaline",2.0000000000000000e+01,
"GREGUL","Larus argentatus / michahellis","Seabird","Large gull","Goeland gris","Laridae","Goeland gris ind.","Goeland argente / leucophee","Larus argentatus / Larus michahellis","surface","Goeland gris ind.","Large grey gull sp",,"Chordata","Aves","Charadriiformes","Laridae","Oiseau marin","Laridae","Grey gull",,,,,,,,,,,,,,,,"Samm","x",,,,"0",,"Goeland gris","Goeland gris",,"GOEGRI / Samm"
"GREPET","Pterodroma sp","Seabird",,"Petrel gris","Procellariidae","Petrel gris ind.","Petrel a  ailes noires / Gould / Murphy / de Bulwer","Pterodroma nigripennis / P. leucoptera / P. ultima / bulweria bulweirii",,"Petrel gris ind.","Grey petrel sp",,"Chordata","Aves","Ciconiiformes","Procellariidae","Oiseau marin","Procellariidae","Grey petrel",6.7300000000000000e+02,,,,,,,,,,,,,"R","R",,,,,,"0",,"grey","grey",1.7000000000000000e+01,
"GRETER","Sterna dougalii / sandvicensis / bergii","Seabird","Small tern","Sterne grise","Sternidae","Sterne grise ind.","Sterne caugek / de Cayenne / argentee / royale / pierregarin / de Dougall / naine / diamant / voyageuse / huppee / caspienne / a  dos gris","Sterna sandvicensis / S. eurygnatha / S. superciliaris / S. maxima / S. hirundo / S. dougallii / S. albifrons / S. sumatrana / S. bengalensis / S. bergii / S. caspia / S. lunata","surface","Sterne grise ind.","Grey tern sp",,"Chordata","Aves","Charadriiformes","Laridae","Oiseau marin","Sternidae","Grey tern",8.3100000000000000e+02,,,,,,,,,,,"Guy, Ant","R","R","R, Fut",,,,,,"GRETER",,"Sterne grise","Sterne grise",2.0000000000000000e+01,"STEGRI / Antilles"
"GYGALB","Gygis alba / microrhyncha","Seabird","Medium tern","Sterne grise","Sternidae","Gygis blanche","Gygis blanche / des Marquises","Gygis alba / G. microrhyncha","surface","Sterne blanche (gygis)","White Tern",,"Chordata","Aves","Charadriiformes","Laridae","Oiseau marin","Sternidae","Grey tern",3.3400000000000000e+02,"Gygis alba","Gygis blanche, Sterne blanche",,4.3265200000000000e+05,,"Animalia","Chordata","Aves","Charadriiformes","Sternidae",,,"R","R, fut",,,,,,"0",,"Sterne grise","Sterne grise",1.9000000000000000e+01,
"HAEOST","Haematopus ostralegus","Land Bird",,"Limicole","Haematopodidae","Huitrier pie",,,,"Huitrier pie","Eurasian Oystercatcher","Ostralego pica","Chordata","Aves","Charadriiformes","Haematopodidae","Oiseau terrestre","Haematopodidae","Shorebird",,"Haematopus ostralegus",,,,,,,,,,,,,,,,,,,,,,,,
"HALALB","Haliaeetus albicilla","Land Bird",,"Rapace","Accipitridae","Pygargue a queue blanche",,,,"Pygargue a queue blanche","White-tailed eagle","Pigargo Europeo",,,,,"Oiseau terrestre","Accipitridae","Bird of prey",,,,,,,,,,,,,,,,,"x",,,,,,,"rapace",,
"HALGRY","Halichoerus grypus","Marine mammal",,"Phoque","Phocidae","Phoque gris",,,,"Phoque gris","Grey seal (Atlantic seal)",,"Chordata","Mammalia","Carnivora","Phocidae","Mammifere marin","Phocidae","Seal",3.3700000000000000e+02,"Halichoerus grypus","Phoque gris","Grey Seal",6.0776000000000000e+04,"137080","Animalia","Chordata","Mammalia","Carnivora","Phocidae",,,,,"Samm",,"HGRY",,,"0",,"Phoque","Phoque",,
"HIPSPP","Hippolais spp","Land Bird",,"Passereau","Autre oiseau","Hypolais ind.",,,,"Hypolais ind.","Warbler unidentif.","Zarcero spp","Chordata","Aves","Passeriformes","Sylviidae","Oiseau terrestre","Other bird","Passerine",3.4200000000000000e+02,,,,,,,,,,,,,,,"bat",,,,,"0",,"passereau","passereau",,
"HIRRUS","Hirundo rustica","Land Bird",,"Hirondelle","Autre oiseau","Hirondelle rustique",,,,"Hirondelle rustique","Barn swallow","Golondrina comun","Chordata","Aves","Passeriformes","Hirundinidae","Oiseau terrestre","Other bird","Swallow",3.4500000000000000e+02,"Hirundo rustica"," Hirondelle rustique","Barn Swallow",3.6960000000000000e+03,,"Animalia","Chordata","Aves","Passeriformes","Hirundinidae",,,,,"bat, belgica",,,,,"0",,"Hirondelle","Hirondelle",,
