code_esp,nom_latin,type,cat_group_size,groupe,Famille,List_sp,liste_especes_potentielles,potential_sp,group_pelgas,nom_commun,nom_anglais,nom_espagnol,phylum_public,classe_public,ordre_public,famille_public,taxon_fr,family_eng,group_eng,id_public,LB_NOM_taxref,NOM_VERN_taxref,NOM_VERN_ENG_taxref,CD_NOM_taxref,APHIA_ID_taxref,REGNE_taxref,PHYLUM_taxref,CLASSE_taxref,ORDRE_taxref,FAMILLE_taxref,R_Caraibes,R_Ocean_Indien,R_Polynesie,R_Sud_Pacifique,R_France_metropole,ASI,CODE_SCANS3,CODE_Bat,CODE_Samm,CODE_OI,CODE_PF,Group_old,kind_ident,nb_bases_remmoa,ex_code_et_corrections
"MELFUS","Melanitta fusca","Coastal Bird",,"Macreuse","Anatidae","Macreuse brune",,,,"Macreuse brune","White-winged scoter","Negron especulado","Chordata","Aves","Anseriformes","Anatidae","Oiseau cotier","Anatidae","Scoter",4.5500000000000000e+02,"Melanitta fusca","Macreuse brune","Velvet Scoter",2.8010000000000000e+03,"137072","Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"Samm, bat","x",,,,"0",,"Macreuse","Macreuse",,
"MELNIG","Melanitta nigra","Coastal Bird",,"Macreuse","Anatidae","Macreuse noire",,,,"Macreuse noire","Black scoter","Negron comun","Chordata","Aves","Anseriformes","Anatidae","Oiseau cotier","Anatidae","Scoter",4.5600000000000000e+02,"Melanitta nigra","Macreuse noire","Common Scoter",2.7940000000000000e+03,"137073","Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"Samm, bat, belgica","x",,,,"0",,"Macreuse","Macreuse",,
"MELSPP","Melanitta sp","Coastal Bird",,"Macreuse","Anatidae","Macreuse","Macreuse brune / noire","Melanitta fusca / M. nigra",,"Macreuse ind.","scoter sp","Negron spp","Chordata","Aves","Anseriformes","Anatidae","Oiseau cotier","Anatidae","Scoter",4.5600000000000000e+02,,,,,,,,,,,,,,,"Samm, bat","x",,,,"0",,"Macreuse","Macreuse",,
"MERSER","Mergus serrator","Coastal Bird",,"Harle","Anatidae","Harle huppe",,,"plongeur","Harle huppe","Red-breasted Merganser","Serreta mediana","Chordata","Aves","Anseriformes","Anatidae","Oiseau cotier","Anatidae","Merganser",4.5800000000000000e+02,"Mergus serrator"," Harle huppe","Red-breasted Merganser",2.8160000000000000e+03,,"Animalia","Chordata","Aves","Anseriformes","Anatidae",,,,,"bat",,,,,"0",,"Harle","Harle",,
"MERSPP","Mergus sp","Coastal Bird",,"Harle","Anatidae","Harle","Harle huppe / bievre","Mergus serrator / M. merganser",,"Harle ind.","Merganser sp",,"Chordata","Aves","Anseriformes","Anatidae","Oiseau cotier","Anatidae","Merganser",,,,,,,,,,,,,,,,"Samm","x",,,,"0",,"Harle","Harle",,
"MESBID","Mesoplodon bidens","Marine mammal","Medium cetacean","Mesoplodon","Ziphiidae","Mesoplodon de Sowerby",,,,"Mesoplodon de Sowerby","Sowerby's beaked whale","Ballena de pico de Sowerby","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mammifere marin","Ziphiidae","Mesoplodon",4.6000000000000000e+02,"Mesoplodon bidens","Mesoplodon de Sowerby, Baleine a  bec de Sowerby","Sowerby's Beaked Whale",6.0958000000000000e+04,"137121","Animalia","Chordata","Mammalia","Cetacea","Ziphiidae",,"M",,,"bat","x","MBID",,,"0",,"Mesoplodon","Mesoplodon",1.0000000000000000e+00,
"MESDEN","Mesoplodon densirostris","Marine mammal","Medium cetacean","Mesoplodon","Ziphiidae","Mesoplodon de Blainville",,,,"Mesoplodon de Blainville","Blainville's beaked whale","Ballena de pico de Blainville","Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mammifere marin","Ziphiidae","Mesoplodon",4.6400000000000000e+02,"Mesoplodon densirostris","Mesoplodon de Blainville, Baleine a  bec de Blainville","Blainville's Beaked Whale",6.0960000000000000e+04,"137122","Animalia","Chordata","Mammalia","Cetacea","Ziphiidae",,,"R",,"bat","x",,,,"MESDEN",,"Mesoplodon","Mesoplodon",2.0000000000000000e+01,
"MESEUR","Mesoplodon europaeus","Marine mammal","Medium cetacean","Mesoplodon","Ziphiidae","Mesoplodon de Gervais",,,,"Mesoplodon de Gervais","Gervais' beaked whale",,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mammifere marin","Ziphiidae","Mesoplodon",4.6600000000000000e+02,"Mesoplodon europaeus","Mesoplodon de Gervais, Baleine a  bec de Gervais","Gervais's Beaked Whale",6.0962000000000000e+04,"137123","Animalia","Chordata","Mammalia","Cetacea","Ziphiidae",,"M",,,,"x",,,,"0",,"Mesoplodon","Mesoplodon",1.0000000000000000e+00,
"MESGIN","Mesoplodon ginkgodens","Marine mammal","Medium cetacean","Mesoplodon","Ziphiidae","Mesoplodon ginkgo",,,,"Mesoplodon du Japon","Ginkgo-toothed beaked whale",,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mammifere marin","Ziphiidae","Mesoplodon",4.6700000000000000e+02,"Mesoplodon ginkgodens",,,6.4854400000000000e+05,,"Animalia","Chordata","Mammalia","Cetacea","Ziphiidae",,"M",,,,,,,,"0",,"Mesoplodon","Mesoplodon",1.9000000000000000e+01,
"MESGRA","Mesoplodon grayi","Marine mammal","Medium cetacean","Mesoplodon","Ziphiidae","Mesoplodon de Gray",,,,"Mesoplodon de Gray","Gray's beaked whale",,"Chordata","Mammalia","Cetartiodactyla","Ziphiidae","Mammifere marin","Ziphiidae","Mesoplodon",4.6800000000000000e+02,"Mesoplodon grayi","Mesoplodon de Gray",,6.0965000000000000e+04,"137124","Animalia","Chordata","Mammalia","Cetacea","Ziphiidae",,"M",,,,,,,,"0",,"Mesoplodon","Mesoplodon",1.9000000000000000e+01,
