Latitude,Longitude,leg_heure,code_leg,speed,course
50.4352512,0.8370165,23035_09_47_00,23035,,
50.4361036,0.8414916,23035_09_48_00,23035,,
50.4369964,0.8459363,23035_09_49_00,23035,,
50.4378731,0.8503898,23035_09_50_00,23035,,
50.4387266,0.8548612,23035_09_51_00,23035,,
50.4404443,0.863755,23035_09_53_00,23035,,
50.4412979,0.8682576,23035_09_54_00,23035,,
50.4421496,0.8727776,23035_09_55_00,23035,,
50.4430289,0.8772835,23035_09_56_00,23035,,
50.4439147,0.8818171,23035_09_57_00,23035,,
50.4447492,0.8863267,23035_09_58_00,23035,,
50.4456269,0.8908685,23035_09_59_00,23035,,
50.4482459,0.9044538,23036_10_02_00,23036,,
50.4500018,0.9134938,23036_10_04_00,23036,,
50.4508735,0.918093,23036_10_05_00,23036,,
50.452631,0.9270334,23036_10_07_00,23036,,
50.4543656,0.9360845,23036_10_09_00,23036,,
50.4561032,0.9450365,23036_10_11_00,23036,,
50.4639652,0.9853685,23036_10_20_00,23036,,
50.4741317,1.0127628,23037_10_27_00,23037,,
50.4800988,1.0233574,23037_10_30_00,23037,,
50.5018987,1.0615583,23038_10_41_00,23038,,
50.5136309,1.0820764,23038_10_47_00,23038,,
50.5210834,1.0950524,23038_10_51_00,23038,,
50.5585134,1.1544561,23039_11_12_00,23039,,
50.5658904,1.164899,23039_11_16_00,23039,,
50.5675953,1.1677673,23039_11_17_00,23039,,
50.5692099,1.170762,23039_11_18_00,23039,,
50.5740363,1.1796958,23039_11_21_00,23039,,
50.5756425,1.1826849,23039_11_22_00,23039,,
50.577248,1.1856909,23039_11_23_00,23039,,
50.5788604,1.1886718,23039_11_24_00,23039,,
50.580456,1.1916923,23039_11_25_00,23039,,
50.5820083,1.1946487,23039_11_26_00,23039,,
50.5835917,1.1976023,23039_11_27_00,23039,,
50.5851697,1.2005794,23039_11_28_00,23039,,
50.5867317,1.2035279,23039_11_29_00,23039,,
50.5882672,1.2064927,23039_11_30_00,23039,,
50.5897725,1.2093146,23039_11_31_00,23039,,
50.5912672,1.2121337,23039_11_32_00,23039,,
50.5927229,1.21492,23039_11_33_00,23039,,
50.5941978,1.2176442,23039_11_34_00,23039,,
50.5956848,1.2204389,23039_11_35_00,23039,,
50.5971899,1.223239,23039_11_36_00,23039,,
50.6001843,1.2287924,23039_11_38_00,23039,,
50.6031668,1.2343534,23039_11_40_00,23039,,
50.6237841,1.2722235,23039_11_54_00,23039,,
50.6281518,1.2801589,23039_11_57_00,23039,,
50.6310307,1.2854691,23039_11_59_00,23039,,
50.6324676,1.2881159,23039_12_00_00,23039,,
50.6339184,1.2907921,23039_12_01_00,23039,,
50.6368093,1.2962291,23039_12_03_00,23039,,
50.6410995,1.3043825,23039_12_06_00,23039,,
50.6424963,1.3070726,23039_12_07_00,23039,,
50.6467214,1.3151425,23039_12_10_00,23039,,
50.6495355,1.3204982,23039_12_12_00,23039,,
50.6509263,1.323128,23039_12_13_00,23039,,
50.6551666,1.3310591,23039_12_16_00,23039,,
50.6609304,1.3414834,23039_12_20_00,23039,,
50.6623672,1.3441195,23039_12_21_00,23039,,
50.6637555,1.3466418,23039_12_22_00,23039,,
50.6651066,1.3491139,23039_12_23_00,23039,,
50.6690014,1.3563023,23039_12_26_00,23039,,
50.6715175,1.3609021,23039_12_28_00,23039,,
50.6761311,1.3700727,23039_12_32_00,23039,,
50.6772249,1.3723637,23039_12_33_00,23039,,
50.6804474,1.3791998,23040_12_36_00,23040,,
50.6815114,1.3814898,23040_12_37_00,23040,,
50.6825793,1.3836962,23040_12_38_00,23040,,
50.6845974,1.3880124,23040_12_40_00,23040,,
50.6872859,1.393807,23040_12_43_00,23040,,
50.7177495,1.5350206,23041_07_41_00,23041,,
50.7152357,1.5325512,23041_07_42_00,23041,,
50.7127445,1.530028,23041_07_43_00,23041,,
50.7102813,1.5275718,23041_07_44_00,23041,,
50.7078524,1.5251546,23041_07_45_00,23041,,
50.705455,1.5227461,23041_07_46_00,23041,,
50.7005731,1.5182923,23041_07_48_00,23041,,
50.6981363,1.5160591,23041_07_49_00,23041,,
50.6956919,1.5137398,23041_07_50_00,23041,,
50.6931926,1.5114875,23041_07_51_00,23041,,
50.6906819,1.5092479,23041_07_52_00,23041,,
50.688149,1.5070303,23041_07_53_00,23041,,
50.6856084,1.504821,23041_07_54_00,23041,,
50.6830589,1.5026553,23041_07_55_00,23041,,
50.6805245,1.5004931,23041_07_56_00,23041,,
50.6754208,1.4962658,23041_07_58_00,23041,,
50.6729163,1.4941069,23041_07_59_00,23041,,
50.6679469,1.4899755,23041_08_01_00,23041,,
50.6654601,1.487894,23041_08_02_00,23041,,
50.6629401,1.4857206,23041_08_03_00,23041,,
50.6524175,1.4781292,23041_08_07_00,23041,,
50.6496632,1.4765162,23041_08_08_00,23041,,
50.6216976,1.4629346,23043_08_18_00,23043,,
50.618919,1.4617002,23043_08_19_00,23043,,
50.6161424,1.4604481,23043_08_20_00,23043,,
50.6078248,1.4568012,23043_08_23_00,23043,,
50.6024946,1.4545182,23043_08_25_00,23043,,
50.5920306,1.4498995,23043_08_29_00,23043,,
50.5733603,1.4418095,23043_08_36_00,23043,,
50.5707575,1.4407117,23043_08_37_00,23043,,
50.5681679,1.4395939,23043_08_38_00,23043,,
50.5605125,1.4362089,23043_08_41_00,23043,,
50.5554059,1.4340267,23043_08_43_00,23043,,
50.5528347,1.4329268,23043_08_44_00,23043,,
50.5502306,1.4317711,23043_08_45_00,23043,,
50.547611,1.4306183,23043_08_46_00,23043,,
50.5449718,1.4295219,23043_08_47_00,23043,,
50.5397633,1.4272349,23043_08_49_00,23043,,
50.5373788,1.4261965,23043_08_50_00,23043,,
50.5340616,1.4268758,23045_09_39_00,23045,,
50.525373,1.4316069,23045_09_43_00,23045,,
50.5230027,1.4328912,23045_09_44_00,23045,,
50.5205871,1.4341792,23045_09_45_00,23045,,
50.5181541,1.4355004,23045_09_46_00,23045,,
50.5059554,1.4425078,23045_09_51_00,23045,,
50.5034497,1.4435749,23045_09_52_00,23045,,
50.5009676,1.4446425,23045_09_53_00,23045,,
50.4935569,1.4476874,23045_09_56_00,23045,,
50.4559943,1.4259644,23047_11_12_00,23047,,
50.4362203,1.3917236,23047_11_25_00,23047,,
50.4297017,1.3808568,23047_11_29_00,23047,,
50.4246173,1.3725184,23047_11_32_00,23047,,
50.4229242,1.36974,23047_11_33_00,23047,,
50.421253,1.3670123,23047_11_34_00,23047,,
50.41956,1.3642562,23047_11_35_00,23047,,
50.4178334,1.3614647,23047_11_36_00,23047,,
50.4144598,1.3559734,23047_11_38_00,23047,,
50.4111094,1.3504265,23047_11_40_00,23047,,
50.4094173,1.347636,23047_11_41_00,23047,,
50.407703,1.3447869,23047_11_42_00,23047,,
50.4059755,1.3419713,23047_11_43_00,23047,,
50.4008229,1.3334981,23047_11_46_00,23047,,
50.3990863,1.3306155,23047_11_47_00,23047,,
50.3973408,1.3277608,23047_11_48_00,23047,,
50.3937656,1.3219592,23047_11_50_00,23047,,
50.390209,1.3161806,23047_11_52_00,23047,,
50.386704,1.3105077,23047_11_54_00,23047,,
50.3849528,1.3076767,23047_11_55_00,23047,,
50.3831719,1.3048125,23047_11_56_00,23047,,
50.3796122,1.2990825,23047_11_58_00,23047,,
50.3759202,1.2932263,23047_12_00_00,23047,,
50.3740683,1.2903112,23047_12_01_00,23047,,
50.3722658,1.2874065,23047_12_02_00,23047,,
50.3704585,1.2845312,23047_12_03_00,23047,,
50.3650234,1.2759842,23047_12_06_00,23047,,
50.3632146,1.2731119,23047_12_07_00,23047,,
50.3542712,1.2589608,23047_12_12_00,23047,,
50.3524821,1.2560969,23047_12_13_00,23047,,
50.3506841,1.2532574,23047_12_14_00,23047,,
50.3487833,1.2505146,23047_12_15_00,23047,,
50.3448835,1.2453363,23047_12_17_00,23047,,
50.3390791,1.2374868,23047_12_20_00,23047,,
50.3371252,1.2348435,23047_12_21_00,23047,,
50.3332537,1.2295915,23047_12_23_00,23047,,
50.3294266,1.2243632,23047_12_25_00,23047,,
50.3235969,1.216485,23047_12_28_00,23047,,
50.3212493,1.2159021,23049_14_38_00,23049,,
50.3204778,1.2139037,23049_14_39_00,23049,,
50.3196627,1.2120585,23049_14_40_00,23049,,
50.2926468,1.149022,23049_15_06_00,23049,,
50.2778192,1.114343,23049_15_15_00,23049,,
50.2576954,1.0673057,23049_15_27_00,23049,,
50.2560162,1.0633202,23049_15_28_00,23049,,
50.244183,1.0356557,23049_15_35_00,23049,,
50.2408425,1.0278865,23049_15_37_00,23049,,
50.2274081,0.9964614,23049_15_45_00,23049,,
50.0858333,0.6990963,23052_08_59_00,23052,,
50.0830855,0.6982367,23052_09_01_00,23052,,
50.0796244,0.6968557,23052_09_03_00,23052,,
50.0760357,0.6940781,23052_09_05_00,23052,,
50.0722324,0.6912355,23052_09_07_00,23052,,
50.0702325,0.6899465,23052_09_08_00,23052,,
50.0662205,0.6872737,23052_09_10_00,23052,,
50.0642004,0.6859828,23052_09_11_00,23052,,
50.0622041,0.6847224,23052_09_12_00,23052,,
50.0562287,0.6809024,23052_09_15_00,23052,,
50.0521604,0.6782793,23052_09_17_00,23052,,
50.0501307,0.6769946,23052_09_18_00,23052,,
50.0481079,0.6756513,23052_09_19_00,23052,,
50.0460181,0.6743246,23052_09_20_00,23052,,
50.0418352,0.6716502,23052_09_22_00,23052,,
50.0397168,0.6703243,23052_09_23_00,23052,,
50.0376021,0.6689634,23052_09_24_00,23052,,
50.0333103,0.6662697,23052_09_26_00,23052,,
50.0290626,0.6636027,23052_09_28_00,23052,,
50.012502,0.6531846,23052_09_36_00,23052,,
50.008245,0.650539,23052_09_38_00,23052,,
49.9912396,0.6397171,23052_09_46_00,23052,,
49.9868996,0.6370658,23052_09_48_00,23052,,
49.9847374,0.6356949,23052_09_49_00,23052,,
49.980386,0.6329294,23052_09_51_00,23052,,
49.9511738,0.5888589,23054_10_42_00,23054,,
49.9502094,0.5853729,23054_10_43_00,23054,,
49.9472601,0.5750825,23054_10_46_00,23054,,
49.9463226,0.5716962,23054_10_47_00,23054,,
49.9443829,0.5648986,23054_10_49_00,23054,,
49.932476,0.5228503,23054_11_01_00,23054,,
49.9314524,0.5192828,23054_11_02_00,23054,,
49.9242289,0.4937597,23055_11_09_00,23055,,
49.921082,0.4826518,23055_11_12_00,23055,,
49.9189783,0.4752474,23055_11_14_00,23055,,
